marca|modelo|categoria|precio_mxn|rango|combustible|transmision|url
Acura|Acura ADX Advance|SUV|899900.0|$850,000 – $899,999|Gasolina|automática CVT|https://www.autocosmos.com.mx/catalogo/2025/acura/adx/advance/172423
Acura|Acura ADX A-Spec|SUV|939900.0|$900,000 – $949,999|Gasolina|automática CVT|https://www.autocosmos.com.mx/catalogo/2025/acura/adx/a-spec/172424
Acura|Acura Integra A-Spec|Sedán|869900.0|$850,000 – $899,999|Gasolina|automática CVT|https://www.autocosmos.com.mx/catalogo/2025/acura/integra/a-spec/171696
Acura|Acura Integra Type S 2.0L|Sedán|1119900.0|$1,100,000 – $1,149,999|Gasolina|manual 6 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/integra-type-s/20l/171850
Acura|Acura MDX Advance|SUV|1569900.0|Más de $1,200,000|Gasolina|automática 10 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/mdx/advance/171758
Acura|Acura MDX Type S 3.0L|SUV|1819900.0|Más de $1,200,000|Gasolina|automática 10 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/mdx-type-s/30l/171725
Acura|Acura RDX Advance|SUV|1164900.0|$1,150,000 – $1,199,999|Gasolina|automática 10 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/rdx/advance/172012
Acura|Acura RDX A-Spec|SUV|1234900.0|Más de $1,200,000|Gasolina|automática 10 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/rdx/a-spec/172013
Acura|Acura TLX Advance|Sedán|1134900.0|$1,100,000 – $1,149,999|Gasolina|automática 10 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/tlx/advance/171849
Acura|Acura TLX Type S 3.0L|Sedán|1384900.0|Más de $1,200,000|Gasolina|automática 10 velocidades|https://www.autocosmos.com.mx/catalogo/2025/acura/tlx-type-s/30l/172011
